experiment_id,n_estimators,max_depth,min_samples_leaf,low_support_floor,val_micro_f1_calibrated,val_macro_f1_calibrated,test_micro_f1_calibrated,test_macro_f1_calibrated,test_micro_f1_default,test_macro_f1_default
5,600,,2,0.2,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
6,600,,2,0.24,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
7,600,,2,0.28,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
8,600,,2,0.32,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
21,600,18.0,2,0.2,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
22,600,18.0,2,0.24,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
23,600,18.0,2,0.28,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
24,600,18.0,2,0.32,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
37,600,24.0,2,0.2,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
38,600,24.0,2,0.24,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
39,600,24.0,2,0.28,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
40,600,24.0,2,0.32,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
53,600,32.0,2,0.2,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
54,600,32.0,2,0.24,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
55,600,32.0,2,0.28,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
56,600,32.0,2,0.32,0.9912280701754386,0.9832967032967034,0.9912280701754386,0.9866151866151867,0.9823008849557522,0.9652014652014652
1,600,,1,0.2,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
2,600,,1,0.24,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
3,600,,1,0.28,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
4,600,,1,0.32,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
17,600,18.0,1,0.2,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
18,600,18.0,1,0.24,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
19,600,18.0,1,0.28,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
20,600,18.0,1,0.32,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
33,600,24.0,1,0.2,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
34,600,24.0,1,0.24,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
35,600,24.0,1,0.28,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
36,600,24.0,1,0.32,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
49,600,32.0,1,0.2,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
50,600,32.0,1,0.24,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
51,600,32.0,1,0.28,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
52,600,32.0,1,0.32,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
69,900,,2,0.2,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
70,900,,2,0.24,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
71,900,,2,0.28,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
72,900,,2,0.32,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
85,900,18.0,2,0.2,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
86,900,18.0,2,0.24,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
87,900,18.0,2,0.28,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
88,900,18.0,2,0.32,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
101,900,24.0,2,0.2,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
102,900,24.0,2,0.24,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
103,900,24.0,2,0.28,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
104,900,24.0,2,0.32,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
117,900,32.0,2,0.2,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
118,900,32.0,2,0.24,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
119,900,32.0,2,0.28,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
120,900,32.0,2,0.32,0.9912280701754386,0.9832967032967034,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
133,1200,,2,0.2,0.991304347826087,0.9847619047619048,0.9868995633187773,0.9782818532818532,0.9823008849557522,0.9652014652014652
