file,label,duration_sec,tempo_est,rms_mean,rms_std,zcr_mean,centroid_mean,bandwidth_mean,rolloff_mean,flatness_mean,onset_strength_mean,onset_strength_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
data\exported_drumbreaks\16 Mero Ouvinte\16 Mero Ouvinte_loop10.wav,1,2.7747845804988662,117.45383522727273,0.19571252167224884,0.03441302105784416,0.07536214192708333,1214.4361536423783,1263.5919668529725,2157.26806640625,0.0012058861320838332,1.2233606576919556,1.156248688697815,-90.65348052978516,36.553916931152344,184.82504272460938,25.941038131713867,-54.90552520751953,15.840134620666504,26.298673629760742,12.365615844726562,-15.440997123718262,10.390922546386719,7.138429641723633,7.846820831298828,-9.87231731414795,8.521499633789062,-5.6073689460754395,5.936508655548096,-18.375965118408203,6.8578362464904785,2.649416208267212,6.879194259643555,-1.2831356525421143,6.802585124969482,-4.451440334320068,6.504387378692627,-10.215466499328613,5.888720512390137
data\exported_drumbreaks\16 Mero Ouvinte\16 Mero Ouvinte_loop71.wav,1,2.6354648526077096,95.703125,0.18926626443862915,0.05852561071515083,0.05852950246710526,1095.8244881335063,1282.3369018810668,2052.9264751233554,0.0011125507298856974,1.360335350036621,1.3723934888839722,-119.2409896850586,67.52468872070312,181.3275146484375,28.142215728759766,-35.97665786743164,17.603206634521484,32.26771545410156,13.702006340026855,-5.433196544647217,15.1597900390625,5.487837314605713,8.169384002685547,-13.131706237792969,13.267671585083008,-1.3327127695083618,4.461292743682861,-14.942301750183105,9.282320022583008,-0.7356632351875305,7.289919376373291,-8.943800926208496,7.150703430175781,-7.644765377044678,7.055078029632568,-5.754182815551758,8.186083793640137
data\exported_drumbreaks\16 Mero Ouvinte\16 Mero Ouvinte_loop72.wav,1,2.461315192743764,99.38401442307692,0.18936413526535034,0.057478439062833786,0.056029132593457945,1052.1037368855432,1264.3034424767727,1951.672933703271,0.001072395360097289,1.4369897842407227,1.5211237668991089,-126.62891387939453,67.03254699707031,187.9459686279297,32.826175689697266,-31.820762634277344,19.22145652770996,31.884464263916016,13.23870849609375,-7.470020294189453,15.992563247680664,5.30018949508667,7.882765769958496,-10.280959129333496,14.545204162597656,-0.2938338816165924,4.741947174072266,-15.830815315246582,9.449131965637207,0.6808776259422302,6.433622360229492,-7.687995910644531,6.850503921508789,-7.898262023925781,7.310779571533203,-3.8659493923187256,6.318399906158447
data\exported_drumbreaks\16 Mero Ouvinte\16 Mero Ouvinte_loop73.wav,1,2.461315192743764,129.19921875,0.18927337229251862,0.05670388042926788,0.0539938668224299,1036.4846791417044,1246.2002397458627,1936.1770772488317,0.0011350928107276559,1.388134479522705,1.3961210250854492,-130.4910430908203,65.59676361083984,188.74485778808594,32.011329650878906,-32.17384338378906,19.740211486816406,33.030311584472656,13.431753158569336,-5.251206874847412,16.678009033203125,4.858727931976318,8.019392967224121,-8.783448219299316,12.676128387451172,0.5451184511184692,4.980488300323486,-14.289361000061035,9.438055038452148,0.025688884779810905,6.103194236755371,-8.97681999206543,8.565196990966797,-7.261173248291016,7.463840961456299,-3.101386308670044,5.944918632507324
data\exported_drumbreaks\16 Mero Ouvinte\16 Mero Ouvinte_loop74.wav,1,2.47297052154195,99.38401442307692,0.19026663899421692,0.0559980608522892,0.05295798043224299,1013.7908250207959,1228.805546504878,1860.4083765332944,0.0009243582026101649,1.342260718345642,1.415884017944336,-132.80914306640625,66.2657699584961,190.81536865234375,30.4116153717041,-31.87123680114746,21.443283081054688,31.720775604248047,12.124966621398926,-3.2622361183166504,17.33989906311035,5.470731735229492,8.824289321899414,-10.034192085266113,12.676304817199707,-0.07595891505479813,6.284631729125977,-13.264165878295898,9.16620922088623,0.26200953125953674,5.841654300689697,-10.009974479675293,8.173442840576172,-7.816590309143066,6.916648864746094,-4.090848445892334,5.257302284240723
data\exported_drumbreaks\17 Trecho da Ária Extraída da Suíte\17 Trecho da Ária Extraída da Suíte_loop0.wav,3,4.632380952380952,135.99917763157896,0.17277321219444275,0.09856387227773666,0.07916748046875,1068.690371570572,772.6297283687688,1415.9696044921875,6.374673830578104e-05,0.8918064832687378,0.35522252321243286,-198.0149383544922,43.1363639831543,177.94984436035156,14.7741060256958,-60.172035217285156,15.782529830932617,-42.463661193847656,8.142136573791504,-44.92039108276367,10.735295295715332,-16.030601501464844,8.199667930603027,6.035269260406494,6.7005109786987305,-9.390613555908203,6.37099552154541,-9.59574031829834,8.075881958007812,-4.826354026794434,5.6847968101501465,1.4458625316619873,7.1282572746276855,-9.844367027282715,5.871628284454346,-18.31073570251465,8.777148246765137
data\exported_drumbreaks\17 Trecho da Ária Extraída da Suíte\17 Trecho da Ária Extraída da Suíte_loop26.wav,3,4.063537414965986,129.19921875,0.18868446350097656,0.061945054680109024,0.08243352716619318,1190.422297284329,1000.9981697824551,1595.6592906605113,0.00012843987497035414,0.9813933968544006,0.4337780177593231,-173.46435546875,55.70671844482422,159.83473205566406,17.87820053100586,-73.74797058105469,14.016919136047363,-20.99829864501953,7.967533111572266,-45.055152893066406,11.123034477233887,-5.646821975708008,7.213104248046875,-9.67005443572998,12.05270767211914,-10.193721771240234,5.910211563110352,-27.621458053588867,10.979499816894531,-4.421908378601074,5.849068641662598,-8.919439315795898,6.850148677825928,-16.427553176879883,7.555324554443359,-13.03564167022705,8.294262886047363
data\exported_drumbreaks\17 Trecho da Ária Extraída da Suíte\17 Trecho da Ária Extraída da Suíte_loop27.wav,3,3.842902494331066,123.046875,0.1965201050043106,0.02990822307765484,0.08607280685240964,1230.1733696698407,1023.5547861172436,1615.9631200583585,0.00010449136607348919,0.940933883190155,0.3347837030887604,-160.93896484375,17.916292190551758,158.0513153076172,14.776971817016602,-80.22862243652344,5.317438125610352,-19.338228225708008,5.502735137939453,-47.5008659362793,7.267017841339111,-3.9537644386291504,5.416110038757324,-13.493924140930176,5.830801010131836,-9.235611915588379,5.077408313751221,-30.67697525024414,8.077467918395996,-4.313647270202637,5.1625871658325195,-9.141507148742676,6.016216278076172,-17.15839385986328,6.061161994934082,-14.645865440368652,8.213630676269531
data\exported_drumbreaks\17 Trecho da Ária Extraída da Suíte\17 Trecho da Ária Extraída da Suíte_loop50.wav,3,8.277913832199546,123.046875,0.17961440980434418,0.08531193435192108,0.07877193846288516,1101.116636123172,881.926993074611,1469.8371438419117,5.1670391258085147e-05,0.9340944886207581,0.45618095993995667,-221.64859008789062,82.69902038574219,159.11965942382812,21.511770248413086,-54.58125305175781,24.139076232910156,-26.745849609375,12.823779106140137,-37.605621337890625,13.335304260253906,-6.044132709503174,8.122836112976074,0.6373000144958496,14.157867431640625,-12.713974952697754,6.046978950500488,-20.63109016418457,11.054691314697266,-1.171690821647644,7.882360458374023,-5.918536186218262,6.922001361846924,-15.644617080688477,8.470826148986816,-14.867915153503418,6.979450702667236
data\exported_drumbreaks\17 Trecho da Ária Extraída da Suíte\17 Trecho da Ária Extraída da Suíte_loop51.wav,3,8.126984126984127,129.19921875,0.18363337218761444,0.07684311270713806,0.07977625311609686,1130.0001667585368,916.8548508630222,1504.686247996795,6.371074414346367e-05,0.9371755123138428,0.4506855010986328,-212.31285095214844,81.96102905273438,155.09312438964844,19.103012084960938,-60.8399772644043,22.215723037719727,-23.814722061157227,7.8699188232421875,-38.41584777832031,13.05229663848877,-5.713120937347412,8.115769386291504,-0.854360044002533,14.00336742401123,-11.970970153808594,5.773118019104004,-21.888591766357422,11.030488014221191,-2.172093391418457,7.672577857971191,-5.278514862060547,6.893001079559326,-14.541285514831543,8.161961555480957,-14.685688972473145,6.946987152099609
