,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-14 - 045 - 116 bpm - jazz-y fill-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-21 - 021 - 160 bpm - hard rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-01 - 032 - 135 bpm - metal blast.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-13 - 044 - 120 bpm - metal.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-05 - 036 - 89 bpm - rolling.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-07 - 038 - 121 bpm - rock metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-04 - 035 - 105 bpm - funk-ish groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-19 - 019 - 120 bpm - groovey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-24 - 024 - 180 bpm - metal punk rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-11 - 011 - 109 bpm - tom-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-20 - 020 - 87 bpm - crashy slow groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-28 - 028 - 118 bpm - groove-y funky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-13 - 013 - 120 bpm - funk disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-29 - 029 - 170 bpm - metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-02 - 033 - 85 bpm - marching steady.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-10 - 010 - 141 bpm - breakbeat.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-08 - 039 - 160 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-31 - 031 - 71 bpm - break-y funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-30 - 030 - 110 bpm - rock hard-disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-10 - 041 - 166 bpm - metal hard rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-26 - 026 - 85 bpm - rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-09 - 040 - 131 bpm - funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-14 - 014 - 141 bpm - groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-23 - 023 - 85 bpm - slow rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-12 - 043 - 132 bpm - funk-y rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-22 - 022 - 170 bpm - breaks dnb.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-16 - 016 - 150 bpm - breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-14 - 045 - 116 bpm - jazz-y fill-y.wav,1.0,0.5820908565337586,0.01534890774185483,0.09356216552284002,0.2401343950986805,0.0005170856462422753,0.0023863242839225252,7.441691264426692e-09,4.429182244212844e-06,0.06919998208192084,0.0003627226517144962,0.04704006983294102,0.02973129164191366,0.0003229657507956086,1.5753238643199672e-08,1.075807583051271e-08,2.2406452470143145e-06,2.2731272699225912e-09,1.920678726618093e-08,0.0002616220376160608,1.9663660042643444e-09,1.5738558475974885e-06,0.0010053348188875637,2.0689040913174973e-09,2.668364510276547e-09,7.194783048499291e-14,1.729575229159058e-10,0.000579556143530692,5.605115898117991e-08,3.084835060230025e-08,3.463813758881485e-08,1.6491269663164846e-17,0.0003161133923868202,1.8441180626068045e-08,1.3617999356051558e-07,3.367852607986727e-10,7.29221829227672e-09,9.813070871565585e-09,5.284620616438793e-09,0.016533067253028146,0.002297714826701289,1.35111545919326e-08,9.89580518042473e-09,9.010731201593921e-11,5.718997791297217e-08
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-21 - 021 - 160 bpm - hard rock breaks.wav,0.5820908565337586,1.0,0.8963387153982407,0.6131918938285844,0.00045369064898995203,0.9640830830879438,0.8844001434012962,0.9831832707955022,0.9721633139228651,1.7608030399598085e-06,0.6547343485871631,0.0689991809545367,0.0001439908633275809,0.46203028881265307,0.0005846219530388169,7.949737581254407e-06,0.06954941594308728,0.19211059041819908,0.018804554516773476,3.6552294210947206e-08,0.374857412456739,0.18591474590558119,0.18623274906419712,1.643152897921557e-08,0.002336596102643209,0.2986444568204362,2.864788644678121e-09,0.04123970632770892,0.1682786278102981,0.3115265786641495,0.014117246363692224,4.396471385638423e-08,0.0004939637285215037,1.0499128791559097e-06,9.298944183666331e-09,0.18989066007264815,0.005926500408227173,5.982093596358272e-07,0.23813435138555267,4.467274473469868e-09,0.00054738643664143,2.9120410136138722e-09,3.843849276837835e-07,0.0003513713237878079,3.1750336059538413e-08
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-01 - 032 - 135 bpm - metal blast.wav,0.01534890774185483,0.8963387153982407,1.0,0.3875377970914217,0.1028191990357674,0.9975768284032346,0.8311479591470474,6.185173733371633e-08,0.712451653148208,0.017386081371261367,9.92551371946613e-05,3.5926131103118954e-06,0.0013537995603726555,0.9768932138508521,0.057719969424572,0.8026448527595303,0.6340864828954201,0.19795060095084532,0.04935546207723937,0.8719136004969306,0.00018613640862329107,0.5331614990962317,0.00015885873698588056,0.002960140872316249,0.12116656041723543,0.3346501488323973,0.03073687823926941,0.00017254607827581984,0.09109379152164912,5.108117742347768e-08,0.24685457427714885,0.22813571868226143,0.04160219380966082,0.05041884203114774,0.07537400288057869,0.037236893501147,0.036771756183426485,0.1464710426295887,7.59867329273457e-11,8.848491317263773e-08,0.12748028807550163,0.021204158740690354,0.18519550521375946,0.009854760229037612,0.22368476868207043
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-13 - 044 - 120 bpm - metal.wav,0.09356216552284002,0.6131918938285844,0.3875377970914217,1.0,3.004116270885274e-08,2.3677500385265012e-11,8.671522555734886e-20,0.8051174922369208,0.4611715680171128,0.9345321889729356,0.8035210085434169,0.01150311567998749,0.5178545706803568,1.1919194345086476e-18,0.7406308396892242,1.2294130292170226e-10,0.0001640241654534242,0.010439642878787148,0.6188556283685019,2.9269303305305677e-09,0.4058269668153739,1.5462207224368502e-07,1.524136160079668e-11,2.1150838762143473e-05,0.4195068249690958,0.6279294659437832,0.6216799798859388,3.461257254466108e-05,0.27038946376681544,0.002968898841733165,2.658241850189221e-15,0.008856553088060623,0.44245123232977884,0.060735259347209566,0.8504403515705284,2.1418114062114723e-11,0.025836924057276257,0.8473380787700586,0.12980997291874516,7.802543577796239e-07,0.0018080276738425634,7.475727822660838e-11,2.017915387604242e-09,0.18857361306052345,0.00100211203554473
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,0.2401343950986805,0.00045369064898995203,0.1028191990357674,3.004116270885274e-08,1.0,0.7805074692915346,0.611456638688396,0.5572430788724202,0.938126565750836,0.27962534822221613,0.9625003323877354,2.3476740464611874e-05,5.5679743415625765e-05,0.05097799612749361,0.9848479349055346,0.2658324793954179,0.9843228050896361,0.47380495533850303,0.00016896730065524493,0.9087458905662412,0.4897354696635544,0.9935704218993234,1.6092331886000422e-08,0.9021950572650149,0.5286011077941759,0.43766306078852574,2.905259696747009e-09,0.02027990032346116,0.5818032691348071,0.9931499983150031,0.01655785701190749,0.8865041442159854,0.8794127752308633,0.25116221266052896,0.7729778496200872,0.4920860869843844,0.5963923114204355,0.7506041956314711,0.06908005984970468,0.5319685277820677,0.37416742113515017,0.8480180259948537,0.06212221701873219,0.27528392361024684,6.089528727165231e-06
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-05 - 036 - 89 bpm - rolling.wav,0.0005170856462422753,0.9640830830879438,0.9975768284032346,2.3677500385265012e-11,0.7805074692915346,1.0,0.0003441180147195498,0.9779367023364671,0.840045626910095,3.037533145286157e-06,1.2360143390697872e-05,0.00038470019202118126,0.680148188911665,0.9269858103480986,0.8296493060209117,0.8256341825724262,6.845568083148233e-07,0.3508162414006841,0.1292663388105954,0.9689721784930825,0.0012038851701251796,0.5444473066235401,2.1017300275627766e-06,0.1368578189705042,1.4899164485302137e-21,0.04736674847623011,0.7443818188795045,0.28131518241578857,0.9082557778478348,0.042292429815922926,0.26323012149639424,0.9835528830425276,0.4115748406182272,0.08811060811711098,1.849596401705621e-12,0.8406247902631464,0.009561220695443904,0.16402274006042927,2.8181955056777205e-12,1.8016093053385776e-05,0.023836001908465826,2.515831311621126e-10,0.9373670404626331,0.03471707542700695,1.6834511722381058e-06
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-07 - 038 - 121 bpm - rock metal punk.wav,0.0023863242839225252,0.8844001434012962,0.8311479591470474,8.671522555734886e-20,0.611456638688396,0.0003441180147195498,1.0,0.9407372117750787,0.699409356760314,0.3206287843745802,0.82150476850074,0.001304634519380517,0.5425049242777875,0.98609949554223,0.9972071305093676,0.9965134500782137,0.5736140307732884,0.258326528542357,0.1996535600743923,0.9657986717283051,0.0001659701551616724,0.21123439636846178,0.7845638454822935,0.006694746925066728,0.979176202701841,0.020339571583817894,0.5167184344901681,1.0660706263812358e-05,0.7449276583962768,0.11513152096969938,0.5315407809224033,3.2065313104027347e-21,0.020724739209151712,8.237401738456747e-09,0.8383497067878212,0.6279080935591608,0.8570763171616315,7.913121547501891e-07,0.6459991311543909,1.5451430400390747e-10,0.026331587728893886,0.07312269459886377,0.07797753395528234,0.023047841681825384,0.0035180092059236383
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,7.441691264426692e-09,0.9831832707955022,6.185173733371633e-08,0.8051174922369208,0.5572430788724202,0.9779367023364671,0.9407372117750787,1.0,0.9979216872175061,0.9838345426175552,0.9724724611840192,0.07425276023196113,0.31845978638799277,0.053051680132083785,2.8307666985118405e-21,0.9165720764225341,0.998691941934985,0.006261229205346732,0.00048756268878067814,0.614263022559844,0.9823324292616546,0.758766346731875,3.2447459375969644e-06,0.0012241552436468807,0.821704089443548,0.9802628231954653,0.9079223485954075,3.525935314039671e-08,0.8397250623739704,4.1072230402570034e-13,0.9988246659741333,0.9753297480785315,0.5242556252079364,1.9484628040660096e-41,0.9728528919564142,7.255115295930769e-22,0.9999258645889997,0.7006931116438778,0.46039054242231375,0.9938691318530386,0.5670739657610868,0.900600421578364,0.34427008428490374,1.0427236983328462e-06,0.5961983033112408
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-04 - 035 - 105 bpm - funk-ish groove-y.wav,4.429182244212844e-06,0.9721633139228651,0.712451653148208,0.4611715680171128,0.938126565750836,0.840045626910095,0.699409356760314,0.9979216872175061,1.0,0.9726258671920481,0.00010025211755900764,0.10128775142792829,0.5290001901320429,0.9947703128261213,0.9497752849159842,0.9464006005992006,0.9826726697926064,0.8163570474838422,0.018641197333613566,0.999642739442351,0.751766656536886,0.9615770463732864,0.8696708542745752,0.028885349315186114,1.3069401603622357e-06,0.74170797865945,0.6095475022540773,1.795872042343532e-06,0.8013406498205827,0.8652226578856843,0.6134778496551876,0.9960118525937269,0.43178933243169365,0.7784538956234512,0.9595605168185651,0.7793854993504783,0.8542885252020084,1.3158019550342888e-05,0.9543928512243239,0.7839270667330556,0.4570548166983045,0.873869834519424,0.5942656798634429,0.5294146574559956,0.9961848695106879
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-19 - 019 - 120 bpm - groovey.wav,0.06919998208192084,1.7608030399598085e-06,0.017386081371261367,0.9345321889729356,0.27962534822221613,3.037533145286157e-06,0.3206287843745802,0.9838345426175552,0.9726258671920481,1.0,0.83016867593877,0.6871036370202986,0.9075577915635293,0.806411525550965,9.359402895733198e-30,0.48510479171932935,0.003658941357414093,0.8349513271623615,2.277577567740711e-08,0.11555496611895887,0.030586916337517894,0.9875577827492223,0.16704512985715536,0.9394684012159977,0.8505110988995057,0.981440212033116,6.849039052892501e-05,0.9668868341588682,0.9004361684981651,0.9716712090543139,0.9920223012268216,2.263766240794379e-18,1.117501668076369e-06,0.9172259325862477,8.299754214541987e-20,0.003461753138015822,0.128503341279089,0.0008195080955263322,0.007448744589834706,0.20426092105548424,0.001377957258658955,0.007450310767302823,4.0540786257335676e-35,3.2250274889977956e-32,6.030266043645271e-13
