,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-16 - 016 - 150 bpm - breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-09 - 040 - 131 bpm - funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-22 - 022 - 170 bpm - breaks dnb.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-10 - 041 - 166 bpm - metal hard rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-12 - 043 - 132 bpm - funk-y rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-23 - 023 - 85 bpm - slow rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-14 - 014 - 141 bpm - groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-26 - 026 - 85 bpm - rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-30 - 030 - 110 bpm - rock hard-disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-10 - 010 - 141 bpm - breakbeat.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-31 - 031 - 71 bpm - break-y funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-02 - 033 - 85 bpm - marching steady.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-08 - 039 - 160 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-29 - 029 - 170 bpm - metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-13 - 013 - 120 bpm - funk disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-20 - 020 - 87 bpm - crashy slow groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-28 - 028 - 118 bpm - groove-y funky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-11 - 011 - 109 bpm - tom-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-24 - 024 - 180 bpm - metal punk rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-19 - 019 - 120 bpm - groovey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-04 - 035 - 105 bpm - funk-ish groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-07 - 038 - 121 bpm - rock metal punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-05 - 036 - 89 bpm - rolling.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-13 - 044 - 120 bpm - metal.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-01 - 032 - 135 bpm - metal blast.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-21 - 021 - 160 bpm - hard rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-14 - 045 - 116 bpm - jazz-y fill-y.wav
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,1.0,0.0336876220592108,0.037040621259891264,0.05628869594669427,0.053260521592697285,0.04890353702615941,7.963085924129776e-10,0.11240927075314361,0.053484579903843546,0.05647726153073072,8.403370973548064e-10,0.05078786711911356,0.055435309119127245,0.060675640672223134,0.03829262087116417,0.061444205420038846,0.044654669736462066,0.04923274894246383,0.04579531812545208,0.041886030929294424,0.005894185548330319,0.0382586366823192,0.05729634573811454,0.00042811232648291305,0.04229980975974824,0.04677498524734836,0.017062420434367256,0.00020750676609942106,0.001260409087354033,0.05591699709363986,0.03365415824523228,5.882551828755411e-07,0.0030073721779001446,1.3101309813900976e-09,0.04983215847900284,6.568490958259783e-10,0.0429453312498041,0.03115949495858301,0.00024122485625555537,3.818534690110965e-07,1.2565171240864253e-07,9.928002465327753e-05,0.023884328161987045,3.165643752859927e-09,1.3815278396759784e-08
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,0.0336876220592108,1.0,0.050838520171066354,0.05071950499719422,0.06874050724874617,0.011474660093644857,0.05358053442886579,0.09604142623914973,0.0694008017970536,0.005870459686443394,0.0015686002688452424,6.865970864299107e-10,0.042811964909639594,0.048624785040397515,0.04940460245954665,0.0002252646871940801,0.02960632254867775,0.05698622115459428,0.05890749735402639,6.912032025367436e-09,0.14424534104362335,0.046821364915549536,0.031273561950718946,0.041830820097090604,0.01570526209299506,0.055232183084647044,0.00906900858711628,8.549974988236371e-05,0.014822731551987415,0.027813614930198332,8.963870274733209e-06,0.08846397107434642,0.0007290181199051316,3.479235465677778e-08,0.02058961793312502,0.00010467740148666312,0.02278745823784024,0.034276065444912254,0.002088111625607437,0.027135048822821375,0.0020575617539349885,0.00020715825860032354,0.01574241049960056,6.311888599729784e-05,0.00064192962482233
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-16 - 016 - 150 bpm - breaks.wav,0.037040621259891264,0.050838520171066354,1.0,0.058327350940472845,0.06665387672051357,0.06255467224165437,0.037129786574261935,2.363472072894988e-06,2.1324809086871658e-06,0.060895304824716424,9.69931139625477e-10,0.019265467597712912,0.06547556029146909,0.039063246714477855,0.046838810614214584,0.003280855651223977,0.035639678153963086,0.049972338693518206,0.0672945310900296,0.07313299619223979,3.5183024412195384e-06,0.050449899188946996,0.02969320643102887,7.350766658898255e-07,0.04056037235276363,0.05135042288531013,0.04069070867253485,0.041550523916853724,6.476099504605984e-09,0.04844720215514184,0.02484807332049392,3.395988275073426e-09,0.05431749609037205,0.10137348892438461,6.44161212698896e-10,7.581462178474553e-10,0.026342642809624516,6.290081672028341e-08,0.001824075092243937,0.019924217442996002,0.002990875853736982,0.021563233550841433,0.0012145350297721002,4.043592613223014e-05,2.7882202593336295e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,0.05628869594669427,0.05071950499719422,0.058327350940472845,1.0,0.05876335287590363,0.05807044086809503,0.0767974792583701,1.6684041758893233e-05,0.00029315681238287336,0.06016922631427225,8.961860077977464e-10,0.04864664512077361,0.0037000399657107735,0.05859779613756442,0.05149528020373175,0.05768296840871923,0.04719902210758788,0.05630221481971751,1.9953926627412964e-06,0.06823100944865984,2.988827187475412e-05,0.0437420399649507,0.009739510705672265,0.00012030096084830379,0.03964420888879558,5.918717441950309e-10,0.04832707047296385,0.023170439906707144,0.04624996601789014,0.05964553646830818,0.04742068977665917,8.273480960708878e-10,0.054287959512952975,0.0020024049725972126,0.0042135886079037515,7.005033703341312e-10,0.02732129546554298,0.019188612943381124,0.0057021574350634725,0.004154364763059028,0.07461432059186011,1.0565504052639025e-09,0.021088790936790065,4.087188672478262e-08,2.576228230014207e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,0.053260521592697285,0.06874050724874617,0.06665387672051357,0.05876335287590363,1.0,2.1428696039448055e-05,0.0723548720139611,0.0985282074026451,0.012938306199213073,0.06394844064080869,0.047029843502870906,1.661171763944094e-06,0.05793956256919656,0.05559853750894486,5.499765926214727e-10,0.05510139576718175,0.05007413647013955,0.058512501745352545,6.670777541963423e-06,7.096257863039162e-10,0.03225449112322001,0.04996567685207085,8.525899316084357e-10,8.640248725934327e-05,0.049059821945800615,6.141133887242584e-10,0.05270023486687096,0.01768463207826028,0.03484661509634088,0.030622400438987406,0.0009662231669643349,2.1849821200998784e-08,0.06123592900893241,2.3462578144252087e-05,0.036913173769094455,0.014846239883374975,0.0373953202287178,0.05747704836563781,7.587359567420335e-10,0.03691174504197662,1.4879696902143541e-06,8.553569378925437e-08,1.0454696435735518e-08,1.1032636122411778e-09,0.004419353336785077
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,0.04890353702615941,0.011474660093644857,0.06255467224165437,0.05807044086809503,2.1428696039448055e-05,1.0,0.03829296508346024,0.0002756340417702574,0.056516762745933063,0.053193108458879645,0.015180727066537442,0.019432578646011507,0.052022402260469655,0.05068813129082986,0.0448561604334549,0.055755419296258664,0.04099927588798504,4.953033534546092e-06,8.494343708502171e-06,0.05986658437283083,0.07952867319454932,0.04195401299736805,0.005104837375980031,6.940500668891947e-06,0.03371672033859996,0.015707315953132357,0.04086587970692479,0.03233335810460403,0.05124812929705338,0.0513896602143554,0.053007200382021495,5.230379129388186e-08,0.05185788947679379,0.044781896960603584,0.05169010535773853,0.00045716841105697745,0.03519321828699905,0.04397117181444162,0.0046839633810657885,0.04967688554702832,6.972750198843721e-10,9.255114962421057e-10,0.002115114502962752,9.31429380217568e-10,3.049077019551273e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-09 - 040 - 131 bpm - funk-y.wav,7.963085924129776e-10,0.05358053442886579,0.037129786574261935,0.0767974792583701,0.0723548720139611,0.03829296508346024,1.0,0.00521639509632618,0.08243151465129657,0.07169563402180988,1.1467150376792945e-09,0.06266311662635131,0.07687163731421984,8.279746962482154e-10,6.782356226987557e-10,1.7416551734918186e-07,0.060188811439398575,7.274538100487132e-10,8.016200284019286e-10,8.751163113376107e-10,0.00020084723368011292,6.163012155768901e-10,1.0514208621404522e-09,0.09280594848603092,6.105159511431986e-10,0.07534052576820623,0.01510201861850099,0.04406821261985746,0.05712448983368984,7.646382707687543e-10,0.06969042259490774,0.026322880665305814,7.58202011766194e-10,0.03162844744696387,0.07613431520569315,0.0822136449099751,0.045794242920688,7.131840890950787e-10,9.356793743384807e-10,0.021491628691532563,0.008974247802974495,0.008210856461351765,0.007346347291416475,1.4284628429535595e-07,6.078975671482493e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-07 - 007 - 120 bpm - rock funk groove.wav,0.11240927075314361,0.09604142623914973,2.363472072894988e-06,1.6684041758893233e-05,0.0985282074026451,0.0002756340417702574,0.00521639509632618,1.0,1.0561132349408832e-07,0.06436521168916497,0.00669675369420003,0.07958657846223598,4.0660747205285235e-05,0.00038884970709739944,0.027237414232538348,0.004156102874272234,6.954496769417534e-05,0.009617369462009338,0.11262105977685258,4.835768125526023e-06,0.11151778772309427,1.5434667822822523e-05,0.03539741955835662,0.07846135502589353,8.625117140757046e-10,3.112396572529851e-07,0.0006275358346037238,0.001183971248926376,0.01893835131819322,2.152705008046154e-06,0.0006122221006048912,0.04800756062443527,0.027292413191024666,0.0001369331532389753,0.00024351178867576705,0.11896459815341799,0.0024006209833557874,0.0001233406206781001,0.000884971342387013,0.10906451149364117,0.019692799538888927,4.039644530720447e-06,0.0006093389705974687,3.1583601300032882e-09,4.657036806659743e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,0.053484579903843546,0.0694008017970536,2.1324809086871658e-06,0.00029315681238287336,0.012938306199213073,0.056516762745933063,0.08243151465129657,1.0561132349408832e-07,1.0,0.0013004211625046844,0.08154470673615244,0.0024202051633335437,0.022369484335723968,0.03161851592562717,0.05005940604594411,0.05450812707767693,0.04246821011959214,0.053496302581674926,1.861572192914864e-05,0.019923086695298662,0.007128673163600787,0.04379726199427862,0.07648972575462813,0.0687212668773167,0.045324961245257096,0.057238430772346055,0.05101836782583605,0.058474568472141907,0.03052437740268523,1.076627707533235e-07,0.008025261590798331,3.7539062842586934e-08,0.008159757753494567,0.008251373655582843,0.038772025358094334,0.008750972513366167,0.038181842503455125,0.05418059493392023,0.06092855419800973,0.03877228406652938,0.0007398735864919366,0.002653766455066434,0.004070682984630047,0.000612615985705596,2.5044709890500437e-09
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-22 - 022 - 170 bpm - breaks dnb.wav,0.05647726153073072,0.005870459686443394,0.060895304824716424,0.06016922631427225,0.06394844064080869,0.053193108458879645,0.07169563402180988,0.06436521168916497,0.0013004211625046844,1.0,0.07878878371558132,0.03264884357706017,2.6061336820965664e-09,0.058624235062269915,0.04468701391077935,0.0022360332877615114,0.04515609822945134,0.04706475938430912,0.05368463377382653,1.3050971794094503e-07,0.09645199456079813,0.04197312414821176,1.1490443427390397e-08,0.05981988805773167,0.03840557927812663,0.0399620255403708,0.03000455455360043,0.02868711650681012,5.647966008284107e-08,6.48769861640605e-09,0.052782525103419305,0.011226469927134528,5.507872423423942e-10,0.0012577394351108188,5.2252579790492235e-06,0.0004850087802510305,0.04078534166229656,0.023852119641594716,0.043909443198033166,0.004294045810660387,7.398927957142977e-10,0.01274836733716585,1.0584675013915142e-09,0.023536217706691693,2.3946421552705394e-09
