mode,block_contrast,spectral_gap,mean_similarity
self_tuned_knn,0.3769463607058805,0.18212927555707994,0.11136348732862268
sinkhorn,0.2065744738472749,0.22514685850300453,0.029583369628384683
none,0.20101397806061394,0.4795813132141399,0.4358299044436664
