file,label,duration_sec,tempo_est,rms_mean,rms_std,zcr_mean,centroid_mean,bandwidth_mean,rolloff_mean,flatness_mean,onset_strength_mean,onset_strength_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,onset_z_ar1,onset_z_ar2,onset_z_ar3,onset_z_ar4,onset_z_ar5,onset_z_ar6,onset_z_ar_resid_var,low_env_ar1,low_env_ar2,low_env_ar3,low_env_ar4,low_env_ar5,low_env_ar6,low_env_ar_resid_var
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\05 Flauta\05 Flauta_loop402.wav,0,1.555736961451247,123.046875,0.19359469413757324,0.036000899970531464,0.09273035386029412,1823.6968796675278,2115.4385464735396,3847.951731962316,0.007165176793932915,1.1599711179733276,0.9378525614738464,-52.47887420654297,30.711824417114258,115.26715850830078,22.130565643310547,-12.423210144042969,14.80274772644043,14.6394624710083,14.624629974365234,-16.89259910583496,12.848130226135254,13.548181533813477,8.108866691589355,5.5862135887146,6.602236270904541,-3.5278546810150146,6.651494979858398,-7.120067596435547,8.596692085266113,3.805917978286743,5.239374160766602,-6.42773962020874,4.436527252197266,-1.287112832069397,6.133342742919922,-5.127382755279541,5.515446186065674,0.8873374618270007,-0.7765820018279841,0.4773523681271875,-0.19137574352435222,-0.053987131719765866,0.11271518210069902,0.5304882810200268,1.0660852851449214,-0.5593824874360591,0.3520405718370261,-0.32001651800948006,0.26230996595779243,-0.15447538963083401,0.26944866003123036
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\05 Flauta\05 Flauta_loop403.wav,0,1.5441269841269842,117.45383522727273,0.19492925703525543,0.030476203188300133,0.09082760027985075,1733.2735835113872,2063.343097846299,3626.2556844682836,0.006367981433868408,1.0966898202896118,0.9636286497116089,-56.279579162597656,31.02414321899414,122.12369537353516,15.1625394821167,-10.903505325317383,14.214163780212402,15.27578353881836,9.562447547912598,-13.724224090576172,7.854827404022217,15.571425437927246,6.277713298797607,7.363252639770508,5.856047630310059,-1.08387291431427,5.0112104415893555,-5.54892110824585,8.553199768066406,5.629011631011963,5.055052757263184,-4.7977399826049805,5.502575874328613,-1.0539311170578003,4.503180027008057,-5.883263111114502,5.312175273895264,0.9826925335972266,-0.892870055845927,0.5880162298654241,-0.22997251211154132,-0.01514304654081211,0.0855981228123494,0.47977413268840513,1.0140408665312037,-0.7012144894098297,0.4483142472858778,-0.46603879765758743,0.33754774809815713,-0.16108853841591372,0.45282104044247856
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\05 Flauta\05 Flauta_loop847.wav,3,3.053424036281179,117.45383522727273,0.19420365989208221,0.04059429094195366,0.09883996212121213,1936.915395278257,2130.602525962497,4055.0120960582385,0.007715911604464054,1.127170205116272,0.9944748282432556,-55.80085372924805,32.335975646972656,108.48375701904297,22.849336624145508,-14.772404670715332,13.84118366241455,15.91671085357666,12.913067817687988,-21.141845703125,12.38857364654541,14.277486801147461,7.523393154144287,3.417630434036255,7.291640758514404,-3.76704740524292,6.578832149505615,-6.816030979156494,7.010382652282715,4.474198818206787,4.8942036628723145,-6.230099678039551,5.140946388244629,-2.8980884552001953,6.179261684417725,-3.7739551067352295,5.659236431121826,0.8948943968641063,-0.6446112996798176,0.2765301014037534,-0.11395374204247866,-0.049369479697099386,0.09111844088145145,0.41691928543943124,1.195252697465808,-0.6336420556409057,0.42750481861357603,-0.2942426803617484,0.19584019649927423,-0.030018425066060034,0.20536497112045643
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\06 I Need You\06 I Need You_loop262.wav,2,1.7414965986394557,129.19921875,0.19406338036060333,0.03505495563149452,0.07712916324013158,1762.6493486750057,2041.0747944465274,3535.9786184210525,0.00850827619433403,1.3088229894638062,0.8142808079719543,-51.561073303222656,18.311777114868164,116.40033721923828,15.220538139343262,-22.659870147705078,15.231344223022461,28.539752960205078,10.214500427246094,3.3712494373321533,7.983813285827637,8.358785629272461,8.640186309814453,1.5373814105987549,8.786140441894531,14.215911865234375,6.9245805740356445,-0.46567463874816895,5.588046550750732,8.181178092956543,6.769840240478516,-0.44110432267189026,4.240507125854492,3.8430018424987793,4.965425491333008,0.01748679205775261,5.345585346221924,0.33023499580150156,-0.5018527908580237,0.01897533786483374,-0.2263206554617434,0.03867631554807797,-0.1827166427740633,0.6816974136245125,1.1728830538083235,-0.7236957838951598,0.35469170933211824,-0.18728377983441064,-0.03747338820117005,0.052828115945728366,0.33654500650252694
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\06 I Need You\06 I Need You_loop263.wav,2,1.799546485260771,135.99917763157896,0.19500732421875,0.03538620471954346,0.07485101161858974,1751.2449679590238,2064.6706697234654,3600.323955829327,0.008170452900230885,1.3374731540679932,0.9751283526420593,-53.06769561767578,25.355121612548828,116.94390869140625,13.861767768859863,-18.66390037536621,17.13047218322754,30.35466766357422,10.337554931640625,3.238072633743286,8.052127838134766,8.592366218566895,8.445483207702637,0.49787119030952454,8.277002334594727,11.776932716369629,6.978754997253418,-0.6359760761260986,5.660406589508057,8.81196117401123,5.747050762176514,-2.3659825325012207,5.547287464141846,3.2419865131378174,4.633097171783447,-0.9030874967575073,5.065096378326416,0.43049958661400317,-0.5145221461378147,0.016798395562185542,-0.1880154005905689,-0.012996568535835126,-0.26803687211422045,0.6167218569699706,1.1532499237931704,-0.674766320002639,0.2673859999941849,-0.0892652733685175,-0.05492363083320412,0.04068168499143486,0.3757432619703087
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\06 I Need You\06 I Need You_loop268.wav,2,1.6370068027210884,135.99917763157896,0.19249440729618073,0.04150129854679108,0.08466521786971831,1846.1841048599035,2054.016900807074,3613.4837835607395,0.011300832964479923,1.2863887548446655,1.2436195611953735,-41.38918685913086,33.59258270263672,115.43425750732422,12.095342636108398,-25.71917724609375,13.990962982177734,25.597036361694336,12.016627311706543,0.16189514100551605,5.6874823570251465,4.746495723724365,12.039258003234863,4.436347007751465,13.278501510620117,14.401947021484375,6.686895847320557,-1.3079068660736084,6.499472141265869,10.094341278076172,6.354167938232422,1.0187453031539917,6.618370056152344,2.530789613723755,5.195559024810791,-2.037214756011963,5.436774730682373,0.8453059568719301,-0.7260699448727103,0.35087283087102045,-0.2861561369801988,0.06056802305649597,-0.12505913705339483,0.5225721330618747,1.0200568242804635,-0.536231414568743,0.06512486107161602,-0.09888795324657593,-0.07290051586620308,-0.005588477482341508,0.3021683227577494
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\06 I Need You\06 I Need You_loop283.wav,0,1.7066666666666668,117.45383522727273,0.1941404640674591,0.03866077587008476,0.06728383657094594,1662.459624161228,2095.6294350834696,3484.305057010135,0.00812404416501522,1.3776003122329712,1.1823281049728394,-60.530147552490234,30.21421241760254,120.93515014648438,14.548778533935547,-9.059784889221191,12.67806339263916,30.78803253173828,7.001304626464844,4.863533020019531,7.178019046783447,8.903094291687012,8.323596000671387,-2.227745771408081,7.176133632659912,13.242330551147461,5.366617679595947,-0.3609175384044647,6.367736339569092,7.531634330749512,6.069582939147949,1.9604500532150269,4.6512770652771,2.6094963550567627,6.050645351409912,-3.7605981826782227,4.519498348236084,0.6476512562983451,-0.7961929512973408,0.5307172713273701,-0.5086578328352542,0.19712717862285933,-0.3958713516640318,0.45495076592278255,0.9304589271325089,-0.5731085835691103,0.16500113732529575,-0.10406555941067763,0.024911732182616414,-0.10096901440153763,0.47529941114183893
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\06 I Need You\06 I Need You_loop570.wav,2,3.4481632653061225,135.99917763157896,0.19462935626506805,0.03898022696375847,0.07736472315436242,1800.8014478011305,2096.823109670744,3679.8654441065437,0.009267318062484264,1.417839765548706,1.2086586952209473,-50.53065872192383,32.48166275024414,115.01216125488281,13.427136421203613,-17.577577590942383,16.16773223876953,29.999265670776367,10.772429466247559,1.7900081872940063,7.170777320861816,4.811917304992676,10.096512794494629,-0.5469220876693726,9.111010551452637,11.951931953430176,7.31887674331665,-0.6639021039009094,5.994909763336182,9.128265380859375,6.146574020385742,-1.8608680963516235,5.787993431091309,3.1572909355163574,4.7955451011657715,-1.156028389930725,5.713306427001953,0.5456406612507967,-0.4460748315404198,-0.014976903874218392,-0.057732408632234195,-0.09365736767397433,-0.16795364208971164,0.6368207943024061,1.1947040873979224,-0.6612983348502779,0.2169971827833454,-0.058263192382958864,-0.07776602185791792,0.0581999048277079,0.32308325103326496
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\07 Antes de Você...Eu\07 Antes de Você...Eu_loop365.wav,3,3.4713832199546486,135.99917763157896,0.19496780633926392,0.0387810654938221,0.078798828125,1926.1027905635995,2389.644829873424,4142.77294921875,0.009271846152842045,1.229065179824829,1.114119529724121,-66.23221588134766,44.70530319213867,116.14971160888672,22.724613189697266,2.2134604454040527,16.27820587158203,1.8942358493804932,9.48177719116211,5.149880409240723,10.281545639038086,4.934657096862793,7.5980939865112305,6.805846214294434,8.957756042480469,5.2752461433410645,10.05724048614502,-13.948979377746582,11.233935356140137,18.46446990966797,11.029644012451172,-0.26413244009017944,7.444253921508789,-5.980431079864502,6.864837169647217,-2.260411262512207,5.251389503479004,0.7926414949621834,-0.4700009892515745,0.11111454639771609,-0.10084596908146892,-0.059961094724865105,0.11107874379016176,0.5555891125783414,1.1404068710550068,-0.6766250301870107,0.3470599278711914,-0.17014900069196626,0.09245543061436573,0.08103039833829542,0.3218208999602353
c:\Users\dunnm\dj-loop-pipeline\data\exported_loops\07 Antes de Você...Eu\07 Antes de Você...Eu_loop366.wav,3,3.4713832199546486,135.99917763157896,0.1954546570777893,0.03487580269575119,0.07848307291666666,1916.7810453373772,2412.1661200367216,4161.72216796875,0.008805939927697182,1.2550281286239624,1.163532018661499,-67.38553619384766,44.139068603515625,117.4577865600586,22.244359970092773,5.408614158630371,15.71908950805664,0.5263859033584595,10.164257049560547,5.366143226623535,11.047274589538574,4.9897260665893555,7.531308174133301,6.459204196929932,8.61774730682373,6.009366035461426,9.90164566040039,-15.636962890625,11.035173416137695,16.131380081176758,10.15284538269043,-1.8453953266143799,5.947697162628174,-5.339196681976318,7.209813594818115,-2.420574188232422,5.142768859863281,0.8173032659741685,-0.5565565110169217,0.1888991687726878,-0.16128858717331265,-0.04489628282303176,0.12511302712830824,0.532820585807223,1.1356157153318494,-0.6582258693914833,0.3476700243026776,-0.17997879924632634,0.11961451597043063,0.0229800159636126,0.33431556514543914
