mode,block_contrast_prev,spectral_gap_prev,mean_similarity_prev,n_rows,n_classes,accuracy,macro_f1,weighted_f1,block_contrast_new,spectral_gap_new,mean_similarity_new,hit_at_5,hit_at_10,nmi,ari,silhouette,assortativity,mask_iou_mean,mask_dice_mean,laplacian_energy
none,0.2010139780606139,0.4795813132141399,0.4358299044436664,45,4,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.20101397806061394,0.4795813132141399,0.4358299044436664,,,,,,,,,
self_tuned_knn,0.3769463607058805,0.1821292755570799,0.1113634873286226,45,4,0.3333333333333333,0.27777777777777773,0.27777777777777773,0.3769463607058805,0.18212927555707994,0.11136348732862268,,,,,,,,,
