mode,block_contrast,spectral_gap,mean_similarity,accuracy,macro_f1,weighted_f1,n_rows,n_classes
none,0.2010139780606139,0.4795813132141399,0.4358299044436664,0.3,0.2656798245614035,0.26046783625730996,120,4
self_tuned_knn,0.3769463607058805,0.1821292755570799,0.1113634873286226,0.16666666666666666,0.16677807486631016,0.1695632798573975,120,4
