file,label,duration_sec,tempo_est,rms_mean,rms_std,zcr_mean,centroid_mean,bandwidth_mean,rolloff_mean,flatness_mean,onset_strength_mean,onset_strength_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std
data\exported_loops\17 Trecho da Ária Extraída da Suíte\17 Trecho da Ária Extraída da Suíte_loop50.wav,3,8.277913832199546,123.046875,0.17961440980434418,0.08531193435192108,0.07877193846288516,1101.116636123172,881.926993074611,1469.8371438419117,5.1670391258085147e-05,0.9340944886207581,0.45618095993995667,-221.64859008789062,82.69902038574219,159.11965942382812,21.511770248413086,-54.58125305175781,24.139076232910156,-26.745849609375,12.823779106140137,-37.605621337890625,13.335304260253906,-6.044132709503174,8.122836112976074,0.6373000144958496,14.157867431640625,-12.713974952697754,6.046978950500488,-20.63109016418457,11.054691314697266,-1.171690821647644,7.882360458374023,-5.918536186218262,6.922001361846924,-15.644617080688477,8.470826148986816,-14.867915153503418,6.979450702667236
data\exported_loops\17 Trecho da Ária Extraída da Suíte\17 Trecho da Ária Extraída da Suíte_loop51.wav,3,8.126984126984127,129.19921875,0.18363337218761444,0.07684311270713806,0.07977625311609686,1130.0001667585368,916.8548508630222,1504.686247996795,6.371074414346367e-05,0.9371755123138428,0.4506855010986328,-212.31285095214844,81.96102905273438,155.09312438964844,19.103012084960938,-60.8399772644043,22.215723037719727,-23.814722061157227,7.8699188232421875,-38.41584777832031,13.05229663848877,-5.713120937347412,8.115769386291504,-0.854360044002533,14.00336742401123,-11.970970153808594,5.773118019104004,-21.888591766357422,11.030488014221191,-2.172093391418457,7.672577857971191,-5.278514862060547,6.893001079559326,-14.541285514831543,8.161961555480957,-14.685688972473145,6.946987152099609
data\exported_loops\18 Tributo ao Sorriso\18 Tributo ao Sorriso_loop136.wav,0,1.4628571428571429,129.19921875,0.18565741181373596,0.06729356199502945,0.07033538818359375,1308.461325680545,1472.5404505640367,2359.0633392333984,0.0013157525099813938,1.1513128280639648,0.7706514596939087,-105.24169921875,55.19694137573242,157.54598999023438,17.003679275512695,-38.77167510986328,14.965452194213867,15.21038818359375,11.586897850036621,-16.60489273071289,11.786284446716309,10.436201095581055,5.875208854675293,-2.712740659713745,7.312684059143066,4.804233551025391,5.0822296142578125,-17.521265029907227,11.682132720947266,6.291102409362793,6.379693508148193,-1.5251734256744385,7.031920433044434,1.3942580223083496,4.1982502937316895,-7.545287132263184,4.505495071411133
data\exported_loops\18 Tributo ao Sorriso\18 Tributo ao Sorriso_loop137.wav,0,1.4628571428571429,143.5546875,0.19357408583164215,0.03964771702885628,0.0835723876953125,1599.9967326386563,1741.534109579302,3101.285934448242,0.004889415577054024,1.1316461563110352,0.674699604511261,-82.25996398925781,17.736671447753906,144.8600616455078,29.471052169799805,-29.594200134277344,26.695716857910156,8.894376754760742,9.780616760253906,-19.49729347229004,12.201105117797852,8.41474723815918,4.529301643371582,-1.9077720642089844,7.426568508148193,4.205316066741943,6.257078647613525,-22.71453857421875,7.9080810546875,2.901155948638916,6.676233291625977,-3.8789682388305664,5.529534339904785,1.4114100933074951,4.313588619232178,-7.958593368530273,3.9149882793426514
data\exported_loops\18 Tributo ao Sorriso\18 Tributo ao Sorriso_loop138.wav,0,1.4512471655328798,129.19921875,0.19253136217594147,0.04698837175965309,0.08483692956349206,1715.2164370712808,1877.8063406339118,3457.6171875,0.006916016805917025,1.1093412637710571,0.6237146854400635,-77.86121368408203,16.761621475219727,135.13812255859375,29.241281509399414,-26.061132431030273,27.28756332397461,13.944477081298828,13.771082878112793,-12.429475784301758,13.615473747253418,8.57723617553711,4.358515739440918,-3.200270414352417,8.835186958312988,2.214016914367676,6.431800842285156,-20.08730697631836,7.80135440826416,1.9167078733444214,6.961664199829102,-5.572910785675049,7.300479888916016,-0.8009478449821472,6.190010070800781,-10.466450691223145,6.939295768737793
data\exported_loops\18 Tributo ao Sorriso\18 Tributo ao Sorriso_loop185.wav,0,1.474467120181406,161.4990234375,0.1945716142654419,0.03474677726626396,0.08119964599609375,1706.9581842205348,1946.7905539474286,3564.081573486328,0.006862665992230177,1.092117428779602,0.783764660358429,-63.935882568359375,20.931852340698242,130.99520874023438,26.074583053588867,-20.155620574951172,18.81401824951172,13.605563163757324,8.998120307922363,-16.681861877441406,8.038268089294434,8.362977981567383,5.7004804611206055,0.08956840634346008,7.18119478225708,4.2241315841674805,5.655918598175049,-20.026437759399414,8.931085586547852,6.416428565979004,5.085793972015381,-2.320444107055664,5.153583526611328,-2.4193482398986816,5.2550129890441895,-9.195331573486328,4.5194525718688965
data\exported_loops\18 Tributo ao Sorriso\18 Tributo ao Sorriso_loop370.wav,0,1.4628571428571429,151.99908088235293,0.19469814002513885,0.032292336225509644,0.07875823974609375,1622.0963420048593,1804.4555241665985,3325.0293731689453,0.00431141909211874,1.1570465564727783,0.8669447898864746,-78.91337585449219,21.47927474975586,136.500732421875,26.09446144104004,-26.890518188476562,23.84280776977539,14.136615753173828,10.220996856689453,-23.41510009765625,9.743967056274414,7.325622081756592,4.872776031494141,-3.726011037826538,6.870152950286865,3.0818088054656982,5.597064971923828,-24.058727264404297,7.1539106369018555,3.4629600048065186,4.695292949676514,-3.030045747756958,4.530636310577393,-1.1406068801879883,5.288190841674805,-9.408956527709961,4.7371063232421875
data\exported_loops\19 Saturday Dream (Ao Vivo)\19 Saturday Dream (Ao Vivo)_loop243.wav,2,1.9620861678004535,117.45383522727273,0.19639167189598083,0.021806009113788605,0.10865119485294118,2187.921307086446,2156.806571454422,4243.434340533088,0.014834783971309662,0.9907510876655579,0.5248070359230042,-21.890117645263672,11.456072807312012,95.5798110961914,10.93039321899414,-31.867937088012695,9.377392768859863,33.45383834838867,7.1406331062316895,-5.401650428771973,7.81265115737915,5.552865982055664,6.137639999389648,-5.34496545791626,5.643972396850586,6.3235273361206055,5.811216831207275,-3.4884026050567627,4.621016979217529,15.005152702331543,4.503409385681152,-2.821063995361328,4.841287136077881,0.9800125360488892,5.556513786315918,-5.564097881317139,4.7748517990112305
data\exported_loops\19 Saturday Dream (Ao Vivo)\19 Saturday Dream (Ao Vivo)_loop244.wav,2,1.811156462585034,123.046875,0.1958727240562439,0.025331610813736916,0.1044921875,2190.9880699411297,2177.2252517961488,4281.427697290348,0.01478994358330965,0.982476532459259,0.5348612666130066,-24.37885284423828,11.799873352050781,94.87562561035156,10.717429161071777,-30.568729400634766,10.36711311340332,31.238367080688477,5.674417972564697,-6.794467449188232,6.505840301513672,5.562625408172607,6.905153751373291,-6.1751813888549805,5.62474250793457,5.966272830963135,5.688977241516113,-3.94185733795166,3.730978488922119,14.889209747314453,5.001586437225342,-3.1904971599578857,5.011853218078613,0.1771625280380249,5.574933052062988,-5.562391757965088,5.06837272644043
data\exported_loops\19 Saturday Dream (Ao Vivo)\19 Saturday Dream (Ao Vivo)_loop245.wav,0,1.799546485260771,123.046875,0.193806454539299,0.03705763816833496,0.10943134014423077,2182.555631775257,2157.0780418357085,4282.208721454327,0.01537130307406187,0.9777737855911255,0.5498887300491333,-21.805721282958984,15.930018424987793,96.8802490234375,10.642769813537598,-30.973783493041992,12.85758113861084,33.31819534301758,6.96936559677124,-6.763175964355469,7.068670272827148,6.0119404792785645,7.014389991760254,-8.040177345275879,5.387076377868652,5.6329193115234375,5.776968479156494,-3.571876049041748,4.410599231719971,12.897520065307617,6.190469264984131,-3.001905679702759,4.865281581878662,0.3259752094745636,5.218603610992432,-5.655284881591797,4.892683029174805
