file_i,file_j,similarity,distance,stretch_ratio_j_over_i
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,0.9983615209235729,6.603548500918785e-08,0.969047619047619
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,0.9982732651830938,6.959552407413568e-08,0.9404761904761905
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-02 - 002 - 121 bpm - crash-y tom-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-10 - 041 - 166 bpm - metal hard rock.wav,0.9979284365029991,8.350815922283415e-08,0.5595238095238095
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-08 - 008 - 135 bpm - steady marching.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,0.9979156838198238,8.402277771130295e-08,0.7785714285714286
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-09 - 009 - 102 bpm - funk-ish.wav,0.9978697054671373,8.587823089980537e-08,0.6619047619047619
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-12 - 043 - 132 bpm - funk-y rock-ish.wav,0.9977982901829962,8.876035919763505e-08,0.819047619047619
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-12 - 043 - 132 bpm - funk-y rock-ish.wav,0.9977411929138217,9.106479941551576e-08,0.8785714285714286
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-01 - 032 - 135 bpm - metal blast.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-08 - 039 - 160 bpm - funk-y break-y.wav,0.9976705228957865,9.39172170848631e-08,0.8833333333333333
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,0.9976642744803608,9.416942839198887e-08,0.8571428571428571
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,0.9971964464704796,1.130573461367556e-07,0.8047619047619048
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,0.9970127201776074,1.2047746801313486e-07,0.8523809523809524
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,0.99701132380689,1.205338682302297e-07,0.9785714285714285
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-03 - 003 - 101 bpm - slow spacey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-04 - 035 - 105 bpm - funk-ish groove-y.wav,0.9968163389652845,1.284101939486494e-07,0.6261904761904762
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-05 - 005 - 124 bpm - funk groove.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,0.9967636713056781,1.305379448507917e-07,0.9833333333333333
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-04 - 004 - 93 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-30 - 030 - 110 bpm - rock hard-disco.wav,0.9966982737456981,1.3318013475660656e-07,0.930952380952381
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-26 - 026 - 85 bpm - rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-31 - 031 - 71 bpm - break-y funk-y.wav,0.9964025689183413,1.451293553404624e-07,0.9952380952380953
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-24 - 024 - 180 bpm - metal punk rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,0.9960315682873943,1.6012624211686799e-07,0.6357142857142857
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,0.9959656055526489,1.6279322586029596e-07,0.6833333333333333
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,0.995820335147533,1.6866737433316298e-07,0.8738095238095238
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-19 - 019 - 120 bpm - groovey.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,0.9954391973699724,1.8408312112114444e-07,0.5642857142857143
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,0.9953452997874991,1.8788187008469688e-07,0.9928571428571429
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-17 - 017 - 114 bpm - steady groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,0.9950413540466104,2.0018084874683098e-07,0.7928571428571428
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-30 - 030 - 110 bpm - rock hard-disco.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,0.9949856560422051,2.0243504175181738e-07,0.7404761904761905
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-27 - 027 - 90 bpm - breaky.wav,0.9945402540062998,2.2046576050215863e-07,0.6404761904761904
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-06 - 037 - 111 bpm - driving rock-ish.wav,0.9944398809790175,2.2453016582126975e-07,0.5785714285714286
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-18 - 018 - 145 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-12 - 043 - 132 bpm - funk-y rock-ish.wav,0.9944026863484946,2.2603639229253304e-07,0.8142857142857143
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-01 - 001 - 120 bpm - rock-ish.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-08 - 039 - 160 bpm - funk-y break-y.wav,0.9943715182197435,2.2729861411511938e-07,0.6666666666666666
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-10 - 041 - 166 bpm - metal hard rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-11 - 042 - 119 bpm - rock.wav,0.994136145316595,2.3683183444651942e-07,0.930952380952381
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-04 - 035 - 105 bpm - funk-ish groove-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-13 - 044 - 120 bpm - metal.wav,0.9940388106168591,2.4077480495179574e-07,0.5071428571428571
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-09 - 040 - 131 bpm - funk-y.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-10 - 041 - 166 bpm - metal hard rock.wav,0.9938492705281453,2.4845406871159256e-07,0.7095238095238096
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-26 - 026 - 85 bpm - rock breaks.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-03 - 034 - 111 bpm - chilled.wav,0.9937256112432549,2.53464944819313e-07,0.9904761904761905
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-06 - 006 - 99 bpm - hard rock punk.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-12 - 012 - 129 bpm - funk-y break-y.wav,0.9935800251314194,2.59365131019599e-07,0.7642857142857142
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-15 - 015 - 170 bpm - rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-02-05 - 036 - 89 bpm - rolling.wav,0.9930780842772748,2.7971398023784425e-07,0.6833333333333333
C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-25 - 025 - 120 bpm - slow rock.wav,C:\Users\dunnm\Downloads\Drum Breaks\377DrumLoopsSamplePack\2023-01-31 - 031 - 71 bpm - break-y funk-y.wav,0.9928029384800187,2.9087284705187787e-07,0.6833333333333333
